,base_market,quote_market,hedge_ratio,half_life
38,MKR-USD,COMP-USD,17.295582524509687,5.0
39,MKR-USD,XLM-USD,7363.155528665634,6.0
40,MKR-USD,ADA-USD,1758.1286240863744,9.0
41,MKR-USD,UMA-USD,364.2130838045808,6.0
42,MKR-USD,AAVE-USD,9.683108487276387,11.0
43,MKR-USD,1INCH-USD,1401.7003612162075,9.0
44,MKR-USD,ETH-USD,0.3710058120394085,7.0
45,ATOM-USD,FIL-USD,2.045313866313629,17.0
46,ATOM-USD,SOL-USD,0.5059363257083015,9.0
47,BCH-USD,ZRX-USD,453.108639209347,13.0
48,BCH-USD,1INCH-USD,240.45860669432614,16.0
49,CELO-USD,ENJ-USD,1.5718680332604797,15.0
50,CELO-USD,FIL-USD,0.11392086473003817,5.0
51,CELO-USD,ZRX-USD,2.354944996972273,10.0
52,CELO-USD,ALGO-USD,3.211889975955899,23.0
53,CELO-USD,SUSHI-USD,0.5889613465047577,15.0
54,CELO-USD,CRV-USD,0.6554743729012641,10.0
55,CELO-USD,MATIC-USD,0.604925957136587,7.0
56,CELO-USD,1INCH-USD,1.2497463137309897,6.0
57,CELO-USD,ETH-USD,0.00033068528761125897,21.0
58,ENJ-USD,FIL-USD,0.07245105878062909,14.0
59,ENJ-USD,ZRX-USD,1.4979700797561994,6.0
60,ENJ-USD,COMP-USD,0.00980796852099238,5.0
61,ENJ-USD,XLM-USD,4.175517675009522,7.0
62,ENJ-USD,SUSHI-USD,0.37466393322490127,4.0
63,ENJ-USD,DOGE-USD,4.885429362108762,9.0
64,ENJ-USD,LTC-USD,0.004472126843541932,9.0
65,ENJ-USD,AAVE-USD,0.005491104986075825,16.0
66,ENJ-USD,MATIC-USD,0.3847226841145723,14.0
67,ENJ-USD,ETH-USD,0.0002103841412921396,6.0
68,RUNE-USD,NEAR-USD,0.7217092647533462,11.0
69,RUNE-USD,MATIC-USD,1.3994818852503856,21.0
70,FIL-USD,ZRX-USD,20.669313259345426,10.0
71,FIL-USD,NEAR-USD,2.7374909187483953,14.0
72,FIL-USD,UMA-USD,2.8496464702291395,11.0
73,FIL-USD,AAVE-USD,0.075784858649918,4.0
74,FIL-USD,ETH-USD,0.0029025700323328575,17.0
75,ZRX-USD,YFI-USD,3.215271306180039e-05,12.0
76,ZRX-USD,XLM-USD,2.786901753097063,8.0
77,ZRX-USD,NEAR-USD,0.13238483073888166,20.0
78,ZRX-USD,SUSHI-USD,0.25006416957838007,8.0
79,ZRX-USD,ADA-USD,0.6654512481581437,8.0
80,ZRX-USD,CRV-USD,0.2782608734892555,14.0
81,ZRX-USD,AAVE-USD,0.003665144968205339,12.0
82,ZRX-USD,UNI-USD,0.04744200411645013,9.0
83,ZRX-USD,MATIC-USD,0.2568055632991715,9.0
84,ZRX-USD,1INCH-USD,0.5305687907902092,7.0
85,ZRX-USD,ETH-USD,0.0001404201111693872,7.0
86,TRX-USD,BTC-USD,2.269174984165849e-06,18.0
87,TRX-USD,DOT-USD,0.010557918287438324,12.0
88,YFI-USD,XLM-USD,86665.55804396623,5.0
89,YFI-USD,ADA-USD,20690.071748658283,10.0
90,YFI-USD,CRV-USD,8652.015247032701,17.0
91,YFI-USD,AAVE-USD,113.95306914256422,21.0
92,YFI-USD,ETH-USD,4.3662992499047935,7.0
93,COMP-USD,SOL-USD,1.826956263058941,7.0
94,XLM-USD,CRV-USD,0.09983582789001878,9.0
95,XLM-USD,AAVE-USD,0.001314960230424421,12.0
96,XLM-USD,ETH-USD,5.037764804453656e-05,6.0
97,EOS-USD,CRV-USD,1.1348819190052173,12.0
98,NEAR-USD,DOGE-USD,24.616304505917487,16.0
99,NEAR-USD,UNI-USD,0.3581347742249604,21.0
100,NEAR-USD,MATIC-USD,1.9389177692981088,12.0
101,SUSHI-USD,AAVE-USD,0.014655996648973447,15.0
102,UMA-USD,DOGE-USD,23.646913666137863,8.0
103,UMA-USD,UNI-USD,0.3440738368258849,7.0
104,AAVE-USD,ETH-USD,0.03829890957902507,21.0
105,UNI-USD,MATIC-USD,5.412593900505394,8.0
106,UNI-USD,ETH-USD,0.002959237624698283,11.0
107,MATIC-USD,1INCH-USD,2.0657264018377854,8.0
